gid,clave_de_centro_de_trabajo,nombre_de_centro_de_trabajo,latitud,longitud,tipo_de_vialidad,nombre_de_calle,numero_exterior,numero_interior,nombre_del_proveedor_mc,tipo_de_conectividad,estatus
63546,09DJN0484S,HANS CHRISTIAN ANDERSEN,19.411215,-99.185207,CALLE,GREGORIO V. GELATI,24,SIN NÚMERO,AXTEL,TERRESTRE,OPERACIÓN
63545,09DPR1771I,CLUB DE LEONES NUMERO 8 ESTADO DE OAXACA,19.403984,-99.189313,AVENIDA,OBSERVATORIO,44,SIN NÚMERO,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
63544,09DML0075N,CENTRO DE ATENCIÓN MÚLTIPLE NÚMERO 76,19.397162,-99.185363,AVENIDA,REVOLUCIÓN,313,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63543,09DJN0062K,NARCISO BASSOLS,19.397667,-99.186465,CALLE,HÉROES DE PADIERNA,22,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63542,09DTV0004J,MARGARITA CHJORNE Y SALAZAR,19.400849,-99.19023,CERRADA,RUFINA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63541,09DJN1081F,XLIX LEGISLATURA,19.40085,-99.1902,CERRADA,RUFINA,52,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63540,09DML0095A,CENTRO DE ATENCIÓN MÚLTIPLE NÚMERO 12,19.396086,-99.184775,CALLE,11 DE ABRIL,188,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63539,09DJN0783Q,PROGRESO,19.402995,-99.174298,CALLE,PROGRESO,193,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63538,09DJN0476J,MAESTRO TEODOMIRO MANZANO,19.404006,-99.179601,CALLE,SALVADOR ALVARADO,71,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63537,09DJN0024H,JOSÉ MARÍA MORELOS,19.407012,-99.184128,AVENIDA,REVOLUCIÓN,24,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63536,09DJN0791Z,JOSE AZUETA,19.406751,-99.182689,CALLE,CARLOS B ZETINA,50,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63535,09DML0121I,CENTRO DE ATENCIÓN MÚLTIPLE NÚMERO 102 (CLÍNICA DE ORTOLALIA),19.432241,-99.204439,AVENIDA,PRESIDENTE MASARYK,526,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63534,09DJN0149P,LA MARINA,19.43387,-99.221895,CALLE,BATALLA DE LA CARBONERA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63533,09DJN0125F,ADOLFO LÓPEZ MATEOS,19.432854,-99.22065,CALLE,CESARIO CASTRO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63532,09DJN0122I,MARÍA TERESA VÁZQUEZ,19.431685,-99.216141,CALLE,1,13,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63530,09DPR1105P,LICENCIADO MANUEL GUAL VIDAL,19.442289,-99.210316,CALLE,PRESA SANTA ROSA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63529,09DPR1120H,GENERAL PLUTARCO ELÍAS CALLES,19.445067,-99.218273,CALLE,MIGUEL LANTZ DURET,24,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63528,09DML0029B,CENTRO DE ATENCIÓN MÚLTIPLE NÚMERO 28,19.445767,-99.177131,CALLE,COLEGIO SALESIANO,40,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63527,09DJN0305Q,ERNESTO P. URUCHURTU,19.437787,-99.170227,CALLE,ITZCÓATL,68,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63526,09DJN0307O,JULIAN CARRILLO,19.443167,-99.177922,CALLE,COLEGIO SALESIANO,69,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63525,09DML0092D,CENTRO DE ATENCIÓN MÚLTIPLE NÚMERO 1,19.439874,-99.192008,CALLE,LAGO BANGUEOLO,24-A,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63524,09DJN1231W,DOLORES HERNANDEZ LANDA,19.442518,-99.193105,CALLE,LAGO MALAR,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63523,09DJN0046T,ELIZABETH KENNY,19.446122,-99.181514,CALLE,LAGO ISEO,132,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63522,09DJN0526A,QUETZALCOATL,19.446313,-99.191443,CALLE,VIALIDAD LAGO HIERMA,12,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63521,09DJN0283V,MARIA LUNA,19.44453,-99.178492,CALLE,LAGO XOCHIMILCO,145,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63519,09DES0168N,MAXIMILIANÚMERO RUIZ CASTAÑEDA,19.45267,-99.200263,CALLE,XIMILPA,SIN NÚMERO,SIN NÚMERO,OPERBES,TERRESTRE,OPERACIÓN
63518,09DJN0324E,FRIDA KAHLO,19.457155,-99.194762,CERRADA,PRIMERA DE LEGARIA,29,SIN NÚMERO,AXTEL,TERRESTRE,OPERACIÓN
63517,09DJN0162J,REPÚBLICA DE HAITÍ,19.458096,-99.200133,CALLE,LAGO ARGENTINA,12,SIN NÚMERO,OPERBES,TERRESTRE,OPERACIÓN
63516,09DJN0160L,DOCTOR RIGOBERTO AGUILAR PICO,19.458059,-99.199551,CALLE,LAGO VALPARAÍSO,11,SIN NÚMERO,OPERBES,TERRESTRE,OPERACIÓN
63515,09DPR2355B,ESTADO DE QUINTANA ROO,19.452109,-99.193094,CALLE,LAGO WINNIPEG,7,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63514,09DJN0206Q,LEONOR LOPEZ ORELLANA,19.451734,-99.193207,CALLE,LAGO WINNIPEG,5,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63513,09DJN0284U,PILTZIN CALLI,19.455801,-99.191148,CALLE,LAGO MICHIGAN,34,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63512,09DJN1361P,GUADALUPE GOMEZ MARQUEZ,19.467256,-99.209681,CALLE,CARLOS ARRUZA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63511,09DJN0323F,FRANCISCO GABILONDO SOLER,19.446798,-99.216538,CALLE,1 DE INGENIEROS MILITARES,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63510,09DDI0023M,CENTRO DE DESARROLLO INFANTIL SEP NÚMERO 23 VANGUARDIA REVOLUCIONARIA,19.445475,-99.168836,CALZADA,MÉXICO-TACUBA,125,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63509,09DJN0036M,DIEGO RIVERA,19.449262,-99.166712,AVENIDA,DE LOS MAESTROS,141,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63508,09DJN0191E,AUSTRIA,19.453902,-99.181499,CALZADA,MARIANO ESCOBEDO,33,SIN NÚMERO,TOTAL PLAY,TERRESTRE,INSTALADO
63507,09DJN0270R,XOCHICALZINGO,19.457589,-99.175,CALLE,MAR CASPIO,29,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
63506,09DJN0262I,AGUSTIN MELGAR,19.457186,-99.185309,CALLE,GOLFO DE CAMPECHE,14,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
57238,-,CENTRO DE ATENCIÓN AL PÚBLICO PLAZA GALERÍAS DISTRITO FEDERAL,19.4368237,-99.1710969,AVENIDA,MELCHOR OCAMPO,193,LOCAL A-5,AXTEL,TERRESTRE,OPERACIÓN
57145,-,DIVISIÓN DE SEGURIDAD DE LA COORDINACIÓN DE SERVIC,19.43860833,-99.17065,CALLE,TLÁLOC,90,SIN NÚMERO,AXTEL,TERRESTRE,OPERACIÓN
57126,DFIMS000744,UNIDAD DE MEDICINA FAMILIAR 17 LEGARIA,19.4297,-99.2119,CALZADA,LEGARIA,354,SIN NÚMERO,OPERBES,TERRESTRE,OPERACIÓN
57125,DFIMS000756,UNIDAD DE MEDICINA FAMILIAR 5 ANÁHUAC,19.4297,-99.2119,AVENIDA,MARINA NACIONAL,SIN NÚMERO,SIN NÚMERO,AXTEL,TERRESTRE,OPERACIÓN
36620,-,"CECYT 2, MIGUEL BERNARD",19.4487,-99.21255112,AVENIDA,NUEVA CASA DE LA MONEDA,133,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
36617,-,UNIDAD PROFESIONAL LÁZARO CÁRDENAS (SANTO TOMÁS),19.4528,-99.1697,PROLONGACIÓN,MANUEL M. CARPIO,475,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
36564,-,CENTRO DE INVESTIGACIÓN CIENCIA APLICADA Y TECNOLOGÍA AVANZADA UNIDAD LEGARIA (CICTA LEGARIA),19.4448,-99.2097,AVENIDA,LEGARIA,694,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
36384,-,CORPORACIÓN MEXICANA DE INVESTIGACIÓN EN MATERIALES S.A. DE C.V.,19.43693056,-99.178925,AVENIDA,MELCHOR OCAMPO,193,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
36383,-,CORPORACIÓN MEXICANA DE INVESTIGACIÓN EN MATERIALES S.A. DE C.V.,19.43927778,-99.18159722,CALLE,BAHIA DE SANTA BARBARA,145,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
36344,-,INSTITUTO DE INVESTIGACIONES ELÉCTRICAS CIUDAD DE MÉXICO,19.40666667,-99.19111111,CALLE,LEIBNITZ,11,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
36321,-,CENTRO DE INVESTIGACIÓN Y DOCENCIA ECONÓMICAS A.C.,19.3942,-99.2345,CARRETERA,CARRETERA MÉXICO TOLUCA,3655,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
36305,-,DELEGACIÓN REGIONAL DEL DF,19.43805278,-99.203,CALLE,EJÉRCITO NACIONAL,862,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
36304,-,OFICINAS CENTRALES,19.43650278,-99.21133333,CALLE,HOMERO,1832,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
36227,09DBP0001M,MTRO MOISES SAENZ GARZA,19.449641,-99.168372,AVENIDA,MAESTRO RURAL,57,A,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
36210,09DBT0030U,CENTRO DE CAPACITACION PARA EL TRABAJO INDUSTRIAL 4,19.44475,-99.215426,CALLE,PRESA SALINILLAS,391,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35961,DFIST000493,DR. ALBERTO PISANTY OVADIA,19.4022,-99.1867,CALLE,DOCTORA 28,1983,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35960,DFIST000534,HOSPITAL GENERAL TACUBA,19.4546,-99.1914,CALLE,LAGO ONTARIO,119,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35935,DFSSA003553,HOSPITAL GENERAL DOCTOR RUBÉN LEÑERO,19.4512,-99.1693,CALLE,PLAN DE SAN LUIS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35883,DFSSA004096,INSTITUTO NACIONAL DE PERINATOLOGÍA ISIDRO ESPINOSA DE LOS REYES,19.423,-99.2057,CALLE,MONTES URUALES,800,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35793,-,MUSEO NACIONAL DE ANTROPOLOGÍA Y BIBLIOTECA NACIONAL DE ANTROPOLOGÍA E HISTORIA,19.426046,-99.186429,AVENIDA,PASEO DE LA REFORMA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35752,09DCE0001F,ESCUELA NORMAL DE ESPECIALIZACIÓN,19.430586,-99.204952,CALLE,CAMPOS ELÍSEOS,467,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35750,09DNP0002Q,BENEMÉRITA ESCUELA NACIONAL DE MAESTROS,19.445492,-99.168865,CALLE,MÉXICO-TACUBA,75,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35625,-,ESCUELA NACIONAL PREPARATORIA PLANTEL 4,19.40404722,-99.19580833,AVENIDA,OBSERVATORIO,170,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35610,-,ESTELA DE LUZ,19.423056,-99.175833,CALLE,PASEO DE LA REFORMA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35606,-,INSTITUTO NACIONAL DE BELLAS ARTES,19.424125,-99.19560556,CALLE,PASEO DE LA REFORMA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35602,-,CENTRO CULTURAL DEL BOSQUE,19.42340833,-99.19517577,CALLE,REFORMA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35592,-,MUSEO NACIONAL DE HISTORIA CASTILLO DE CHAPULTEPEC,19.41938056,-99.18138056,CALLE,1° SECCION DEL BOSQUE,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35590,-,MUSEO DE ARTE MODERNO,19.42349434,-99.18008566,CALLE,PASEO DE LA REFORMA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35587,-,MUSEO DE ARTE CONTEMPORÁNEO INTERNACIONAL RUFINÚMERO TAMAYO,19.42551797,-99.18172717,CALLE,PASEO DE LA REFORMA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35579,-,ESCUELA NACIONAL DE DANZA NELLIE Y GLORIA CAMPOBELLO,19.43073889,-99.20559444,CALLE,CAMPOS ELÍSEOS,480,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35578,-,ESCUELA NACIONAL DE DANZA FOLKLÓRICA,19.42378777,-99.19518113,CALLE,PLAZA ÁNGEL SALAS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35575,-,CONSERVATORIO NACIONAL DE MÚSICA,19.42491944,-99.20753056,AVENIDA,PRESIDENTE MASARYK,582,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
35571,-,FONOTECA NACIONAL,19.42588222,-99.18555737,CALLE,FRANCISCO SOSA,383,SIN NÚMERO,TOTAL PLAY,GRANDES ANCHOS DE BANDA,OPERACIÓN
34645,09DCT0025H,CENTRO DE ESTUDIOS TECNOLÓGICOS INDUSTRIAL Y DE SERVICIOS NÚMERO 8,19.439183,-99.181877,CALLE,LAGO ALBERTO,431,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
34639,09DCT0152D,CENTRO DE ESTUDIOS TECNOLÓGICOS INDUSTRIAL Y DE SERVICIOS NÚMERO 152,19.408302,-99.190437,CALLE,GENERAL SÓSTENES ROCHA,4,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
34237,-,ESCANDÓN DISTRITO FEDERAL,19.4009177,-99.1834009,CALLE,CARLOS B. ZETINA,168,SIN NÚMERO,AXTEL,TERRESTRE,OPERACIÓN
34235,-,ANZURES DISTRITO FEDERAL,19.425,-99.178,CALLE,LEÓN TOLSTOI,23,SIN NÚMERO,AXTEL,TERRESTRE,OPERACIÓN
34233,-,LOMAS DE SOTELO DISTRITO FEDERAL,19.439,-99.191,RETORNO,RETORNO 2 DE AVENIDA INGENIEROS MILITARES,30,12,AXTEL,TERRESTRE,OPERACIÓN
34232,-,PRADO NORTE DISTRITO FEDERAL,19.428,-99.21,CALLE,PRADO NORTE,525-A,SIN NÚMERO,AXTEL,TERRESTRE,OPERACIÓN
34206,-,MÓDULO DE DÉPOSITOS MASIVOS CONDESA,19.407269,-99.190754,CALLE,JUAN DE LA BARRERA,13,SIN NÚMERO,AXTEL,TERRESTRE,OPERACIÓN
27996,09DPR2311E,REPUBLICA DE HAITI,19.454723,-99.206859,CERRADA,DE DR MIGUÉL SÍLVA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27976,09DPR1725X,DR. MIGUEL SILVA,19.455402,-99.205731,CALLE,LAGO CANEGUÍN,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27974,09DPR1688J,GRAL. PEDRO A. OGAZON,19.456186,-99.196357,CALLE,LAGOS ILOPANGO E ISABAL,SIN NÚMERO,SIN NÚMERO,AXTEL,TERRESTRE,OPERACIÓN
27972,09DPR1679B,REPUBLICA DE INDONESIA,19.462563,-99.191813,CALLE,CANITO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27959,09DPR1120H,GENERAL PLUTARCO ELÍAS CALLES,19.445067,-99.218273,CALLE,RET LANZ DURET,24,SIN NÚMERO,OPERBES,TERRESTRE,OPERACIÓN
27917,09DES0109Y,LEON FELIPE,19.458937,-99.205387,CALZADA,SAN BARTOLO NAUCALPAN,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27853,09DST0005V,ESCUELA SECUNDARIA TECNICA 5,19.439104,-99.181382,CALLE,LAGO ALBERTO,431,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27823,09DES0097J,JUAN ENRIQUE PESTALOZZI,19.404505,-99.180522,CALLE,CIENCIAS,76,SIN NÚMERO,TOTAL PLAY,TERRESTRE,INSTALADO
27806,09DSN0048I,GUSTAVO DIAZ ORDAZ,19.41954,-99.218563,CALLE,MONTE CÁUCASO,935,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27799,09DES0331Y,MARGARITA PAZ PAREDES,19.399593,-99.1837,VIADUCTO,MIGUEL ALEMÁN,37,SIN NÚMERO,OPERBES,TERRESTRE,OPERACIÓN
27785,09DSN0017P,PROFESOR FELIX ZURITA,19.399593,-99.1837,VIADUCTO,MIGUEL ALEMÁN,37,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27629,09DES0254J,NAGOYA,19.452937,-99.178518,CALLE,CAÑITAS,96,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27561,09DES0121T,RABINDRANATH TAGORE,19.448916,-99.166862,AVENIDA,DE LOS MAESTROS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27560,09DES0120U,ROSARIO CASTELLANOS,19.449324,-99.16916,CALZADA,MAESTRO RURAL,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27546,09DES0094M,GIUSSEPPE GARIBALDI,19.444481,-99.214009,CALLE,PRESA SALINILLAS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27491,09DES0020V,JOSE ARTEAGA,19.447948,-99.195104,CALLE,LAGO AMER,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27488,09DES0017H,CONSTITUCION DE 1857,19.400432,-99.179766,CALLE,PATRIOTISMO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27486,09DES0015J,ALBERT EINSTEIN,19.449888,-99.172084,CALZADA,MÉXICO-TACUBA,215,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27428,09DPR0837U,"ESC. PRIM. ANEXA A LA BENM ""MANUEL M. ACOSTA""",19.447816,-99.170687,CALZADA,MÉXICO-TACUBA,75,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27226,09DBN0051W,ESTADO DE GUERRERO,19.454583,-99.191905,CALLE,LAGOS ONTARIO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27165,09DPR1726W,DAVID G. BERLANGA,19.438701,-99.169579,CALLE,MELCHOR OCAMPO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27154,09DPR1767W,GUILLERMO PRIETO,19.401699,-99.188888,CALLE,MANUEL DUBLÁN,14,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27034,09DPR1111Z,DEFENSORES DE LA REPUBLICA,19.407269,-99.190754,CALLE,CARLOS B. ZETINA,16,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27022,09DPR1023F,FRANCISCO GOITIA,19.43108,-99.220491,NINGUNO,NINGUNO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
27015,09DPR1740P,PROFR. ADELAIDO RIOS Y MONTES DE OCA,19.438306,-99.169935,CALLE,QUETZALCÓATL,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26974,09DPR1737B,ADOLFO CIENFUEGOS Y CAMUS,19.457548,-99.184235,CALLE,GOLFO DE CALIFORNIA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26912,09DPR1735D,GENERAL ANDRES FIGUEROA,19.454252,-99.192379,CALLE,LAGO WINNIPEG,75,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26911,09DPR1695T,MAESTRO ANTONIO CASO,19.442564,-99.194759,CALLE,LAGO DE SAN JOSÉ,16,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26880,09DPR1807G,MANUEL MARIA CONTRERAS,19.414929,-99.18272,CALLE,PROTASIO TAGLE,27,SIN NÚMERO,AXTEL,TERRESTRE,OPERACIÓN
26875,09DPR1129Z,ALFREDO BERNARDO NOBEL,19.449583,-99.213679,AVENIDA,TORRES ELÉCTRICAS,SIN NÚMERO,SIN NÚMERO,AXTEL,TERRESTRE,OPERACIÓN
26844,09DPR1701N,LEOPOLDO E. CAMARENA,19.454353,-99.176406,CALLE,MAR ARAFURA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26763,09DPR1712T,FRANCISCO SARABIA,19.457197,-99.175955,CALLE,MAR MARMARA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26716,09DPR2145X,JUAN AMOS COMENIO,19.445798,-99.203843,CALLE,PRESA LAS LAJAS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26674,09DPR1754S,CATORCE DE ABRIL,19.404712,-99.180449,CALLE,CIENCIAS,60,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26638,09DPR1104Q,PROFESOR FAUSTO BRAVO GÓMEZ,19.442252,-99.210699,CALLE,MIGUEL DE CERVANTES Y PRESA ENDRO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26633,09DPR1093A,ALBERTO M. ALVARADO,19.395651,-99.229841,AVENIDA,CONSTITUYENTES,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26626,09DPR1716P,FRANCISCO FIGUEROA,19.45823,-99.193475,CALLE,LAGOS GÜIJA Y PETEN,SIN NÚMERO,SIN NÚMERO,OPERBES,TERRESTRE,OPERACIÓN
26548,09DPR1748H,AQUILES SERDAN,19.40887,-99.203009,CALZADA,PANTEÓN CIVIL,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26528,09DPR2141A,MIGUEL HIDALGO,19.455413,-99.178657,CALZADA,MÉXICO TACUBA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26504,09DPR2944Q,MARTIRES DE TACUBAYA,19.411965,-99.190098,CALLE,MELCHOR MÚZQUIZ,18,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26468,09DPR1691X,OROZCO Y BERRA,19.457742,-99.179419,AVENIDA,CUITLÁHUAC,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26439,09DPR1733F,CENTRO ESCOLAR MEXICO,19.448713,-99.194277,CALLE,LAGOS ERNE,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26438,09DPR1703L,GENERAL J. FERNÁNDO RAMÍREZ,19.451349,-99.204541,CALZADA,SANTA CRUZ CACALCO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26325,09DPR1825W,DOCTOR JOSÉ ELEUTERIO GONZÁLEZ,19.402736,-99.179417,AVENIDA,JOSÉ MARTÍ,129,SIN NÚMERO,AXTEL,TERRESTRE,INSTALADO
26300,09DPR1713S,FRANCISCO SANTOYO MALDONADO,19.452133,-99.181792,CALLE,MARIANO ESCOBEDO,59,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26292,09DPR1734E,ANTONIO CASO,19.442564,-99.194713,CALLE,LAGO DE SAN JOSÉ,16 BIS,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
26290,09DPR1804J,MIGUEL F MARTINEZ,19.402906,-99.177972,CALLE,COMERCIO,SIN NÚMERO,SIN NÚMERO,AXTEL,TERRESTRE,OPERACIÓN
26253,09DPR1687K,RAFAEL ANGEL DE LA PEÑA,19.449529,-99.170644,CALLE,JOSÉ PARRÉS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
22632,-,"BIBLIOTECA PÚBLICA UNIDAD HABITACIONAL FOVISSSTE, ISSSTE 3",19.406667,-99.191111,AVENIDA,MARINA NACIONAL,200,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
22631,-,BIBLIOTECA PÚBLICA C.D.C XLIX LEGISLATURA (DIF-DF),19.400747,-99.190729,CALLE,RUFINA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
22553,-,BIBLIOTECA PÚBLICA POPOTLA,19.45642,-99.1746796,CALLE,MAR MARMARA,391,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
22544,-,BIBLIOTECA PÚBLICA REFORMA SOCIAL,19.4304633,-99.2224582,AVENIDA,SIERRA ROSA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
113177,09DJN0746M,CADETES DE LA NAVAL,19.42721611,-99.14553111,CALLE,ARCOS DE BELEN,47,SIN NÚMERO,OPERBES,TERRESTRE,INSTALADO
